trade_date,active_member_count,suspended_member_count,daily_bar_coverage,daily_basic_coverage,industry_coverage,limit_price_coverage,minimum_coverage,passed,issue
2016-01-25,500,29,1.0,1.0,0.988,1.0,0.988,True,
2016-01-26,500,30,1.0,1.0,0.988,1.0,0.988,True,
2016-01-27,500,30,1.0,1.0,0.988,1.0,0.988,True,
2016-01-28,500,31,1.0,1.0,0.988,1.0,0.988,True,
2016-01-29,500,33,1.0,1.0,0.988,1.0,0.988,True,
2016-02-01,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-02-02,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-02-03,500,36,1.0,1.0,0.988,1.0,0.988,True,
2016-02-04,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-02-05,500,38,1.0,1.0,0.988,1.0,0.988,True,
2016-02-15,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-02-16,500,34,1.0,1.0,0.988,1.0,0.988,True,
2016-02-17,500,33,1.0,1.0,0.988,1.0,0.988,True,
2016-02-18,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-02-19,500,35,1.0,1.0,0.988,1.0,0.988,True,
2016-02-22,500,38,1.0,1.0,0.988,1.0,0.988,True,
2016-02-23,500,38,1.0,1.0,0.988,1.0,0.988,True,
2016-02-24,500,39,1.0,1.0,0.988,1.0,0.988,True,
2016-02-25,500,41,1.0,1.0,0.988,1.0,0.988,True,
2016-02-26,500,41,1.0,1.0,0.988,1.0,0.988,True,
2016-02-29,500,42,1.0,1.0,0.988,1.0,0.988,True,
2016-03-01,500,41,1.0,1.0,0.988,1.0,0.988,True,
2016-03-02,500,43,1.0,1.0,0.988,1.0,0.988,True,
2016-03-03,500,44,1.0,1.0,0.988,1.0,0.988,True,
2016-03-04,500,43,1.0,1.0,0.988,1.0,0.988,True,
2016-03-07,500,43,1.0,1.0,0.988,1.0,0.988,True,
2016-03-08,500,42,1.0,1.0,0.988,1.0,0.988,True,
2016-03-09,500,40,1.0,1.0,0.988,1.0,0.988,True,
2016-03-10,500,38,1.0,1.0,0.988,1.0,0.988,True,
2016-03-11,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-03-14,500,37,1.0,1.0,0.988,1.0,0.988,True,
2016-03-15,500,38,1.0,1.0,0.988,1.0,0.988,True,
