ts_code,list_date,delist_date,has_security_master,has_index_membership,has_daily_bar,passed,issue
001209.SZ,2021-07-23,,True,False,False,True,
001210.SZ,2021-07-29,,True,False,False,True,
001211.SZ,2021-08-05,,True,False,False,True,
001212.SZ,2021-08-23,,True,False,False,True,
001213.SZ,2021-09-08,,True,True,True,True,
001215.SZ,2021-09-06,,True,False,False,True,
001216.SZ,2021-10-19,,True,False,False,True,
001217.SZ,2021-09-29,,True,False,False,True,
001218.SZ,2021-10-15,,True,False,False,True,
001219.SZ,2021-10-21,,True,False,False,True,
001220.SZ,2026-02-03,,True,False,False,True,
001221.SZ,2025-07-30,,True,True,True,True,
001222.SZ,2022-08-18,,True,False,False,True,
001223.SZ,2022-12-12,,True,False,False,True,
001225.SZ,2023-02-22,,True,False,False,True,
001226.SZ,2022-06-22,,True,False,False,True,
001227.SZ,2022-01-17,,True,True,True,True,
001228.SZ,2022-04-29,,True,False,False,True,
001229.SZ,2022-08-08,,True,False,False,True,
001230.SZ,2022-07-15,,True,False,False,True,
001231.SZ,2022-08-19,,True,False,False,True,
001233.SZ,2025-11-25,,True,False,False,True,
001234.SZ,2022-01-11,,True,False,False,True,
001236.SZ,2022-08-05,,True,False,False,True,
001237.SZ,2026-05-22,,True,False,False,True,
001238.SZ,2022-09-19,,True,False,False,True,
001239.SZ,2023-12-12,,True,False,False,True,
001248.SZ,2026-07-02,,True,False,False,True,
001255.SZ,2022-09-30,,True,False,False,True,
001256.SZ,2022-12-05,,True,False,False,True,
001257.SZ,2026-03-31,,True,False,False,True,
001258.SZ,2022-07-27,,True,False,False,True,
001259.SZ,2022-08-31,,True,False,False,True,
001260.SZ,2023-02-16,,True,False,False,True,
001266.SZ,2022-02-28,,True,False,False,True,
001267.SZ,2021-11-17,,True,False,False,True,
001268.SZ,2022-06-30,,True,False,False,True,
001269.SZ,2022-09-30,,True,False,False,True,
001270.SZ,2022-06-06,,True,False,False,True,
001277.SZ,2024-09-03,,True,False,False,True,
