trade_date,size_bucket,factor,total,non_missing,coverage
2022-08-17,3,asset_turnover,12,12,1.0
2022-08-17,4,asset_turnover,12,12,1.0
2022-08-18,0,asset_turnover,12,12,1.0
2022-08-18,1,asset_turnover,12,12,1.0
2022-08-18,2,asset_turnover,12,12,1.0
2022-08-18,3,asset_turnover,12,12,1.0
2022-08-18,4,asset_turnover,12,12,1.0
2022-08-19,0,asset_turnover,12,12,1.0
2022-08-19,1,asset_turnover,12,12,1.0
2022-08-19,2,asset_turnover,12,12,1.0
2022-08-19,3,asset_turnover,12,12,1.0
2022-08-19,4,asset_turnover,12,12,1.0
2022-08-22,0,asset_turnover,12,12,1.0
2022-08-22,1,asset_turnover,12,12,1.0
2022-08-22,2,asset_turnover,12,12,1.0
2022-08-22,3,asset_turnover,12,12,1.0
2022-08-22,4,asset_turnover,12,12,1.0
2022-08-23,0,asset_turnover,12,12,1.0
2022-08-23,1,asset_turnover,12,12,1.0
2022-08-23,2,asset_turnover,12,12,1.0
2022-08-23,3,asset_turnover,12,12,1.0
2022-08-23,4,asset_turnover,12,12,1.0
2022-08-24,0,asset_turnover,12,12,1.0
2022-08-24,1,asset_turnover,12,12,1.0
2022-08-24,2,asset_turnover,12,12,1.0
2022-08-24,3,asset_turnover,12,12,1.0
2022-08-24,4,asset_turnover,12,12,1.0
2022-08-25,0,asset_turnover,12,12,1.0
2022-08-25,1,asset_turnover,12,12,1.0
2022-08-25,2,asset_turnover,12,12,1.0
2022-08-25,3,asset_turnover,12,12,1.0
2022-08-25,4,asset_turnover,12,12,1.0
2022-08-26,0,asset_turnover,12,12,1.0
2022-08-26,1,asset_turnover,12,12,1.0
2022-08-26,2,asset_turnover,12,12,1.0
2022-08-26,3,asset_turnover,12,12,1.0
2022-08-26,4,asset_turnover,12,12,1.0
2022-08-29,0,asset_turnover,12,12,1.0
2022-08-29,1,asset_turnover,12,12,1.0
2022-08-29,2,asset_turnover,12,12,1.0
2022-08-29,3,asset_turnover,12,12,1.0
2022-08-29,4,asset_turnover,12,12,1.0
2022-08-30,0,asset_turnover,12,12,1.0
2022-08-30,1,asset_turnover,12,12,1.0
2022-08-30,2,asset_turnover,12,12,1.0
2022-08-30,3,asset_turnover,12,12,1.0
2022-08-30,4,asset_turnover,12,12,1.0
2022-08-31,0,asset_turnover,12,12,1.0
2022-08-31,1,asset_turnover,12,12,1.0
2022-08-31,2,asset_turnover,12,12,1.0
2022-08-31,3,asset_turnover,12,12,1.0
2022-08-31,4,asset_turnover,12,12,1.0
2022-09-01,0,asset_turnover,12,12,1.0
2022-09-01,1,asset_turnover,12,12,1.0
2022-09-01,2,asset_turnover,12,12,1.0
2022-09-01,3,asset_turnover,12,12,1.0
2022-09-01,4,asset_turnover,12,12,1.0
2022-09-02,0,asset_turnover,12,12,1.0
2022-09-02,1,asset_turnover,12,12,1.0
2022-09-02,2,asset_turnover,12,12,1.0
2022-09-02,3,asset_turnover,12,12,1.0
2022-09-02,4,asset_turnover,12,12,1.0
2022-09-05,0,asset_turnover,12,12,1.0
2022-09-05,1,asset_turnover,12,12,1.0
2022-09-05,2,asset_turnover,12,12,1.0
2022-09-05,3,asset_turnover,12,12,1.0
2022-09-05,4,asset_turnover,12,12,1.0
2022-09-06,0,asset_turnover,12,12,1.0
2022-09-06,1,asset_turnover,12,12,1.0
2022-09-06,2,asset_turnover,12,12,1.0
2022-09-06,3,asset_turnover,12,12,1.0
2022-09-06,4,asset_turnover,12,12,1.0
2022-09-07,0,asset_turnover,12,12,1.0
2022-09-07,1,asset_turnover,12,12,1.0
2022-09-07,2,asset_turnover,12,12,1.0
2022-09-07,3,asset_turnover,12,12,1.0
2022-09-07,4,asset_turnover,12,12,1.0
2022-09-08,0,asset_turnover,12,12,1.0
2022-09-08,1,asset_turnover,12,12,1.0
2022-09-08,2,asset_turnover,12,12,1.0
2022-09-08,3,asset_turnover,12,12,1.0
2022-09-08,4,asset_turnover,12,12,1.0
2022-09-09,0,asset_turnover,12,12,1.0
2022-09-09,1,asset_turnover,12,12,1.0
2022-09-09,2,asset_turnover,12,12,1.0
2022-09-09,3,asset_turnover,12,12,1.0
2022-09-09,4,asset_turnover,12,12,1.0
2022-06-20,0,vol_20,12,0,0.0
2022-06-20,1,vol_20,12,0,0.0
2022-06-20,2,vol_20,12,0,0.0
2022-06-20,3,vol_20,12,0,0.0
2022-06-20,4,vol_20,12,0,0.0
2022-06-21,0,vol_20,12,0,0.0
2022-06-21,1,vol_20,12,0,0.0
2022-06-21,2,vol_20,12,0,0.0
2022-06-21,3,vol_20,12,0,0.0
2022-06-21,4,vol_20,12,0,0.0
2022-06-22,0,vol_20,12,0,0.0
2022-06-22,1,vol_20,12,0,0.0
2022-06-22,2,vol_20,12,0,0.0
2022-06-22,3,vol_20,12,0,0.0
2022-06-22,4,vol_20,12,0,0.0
2022-06-23,0,vol_20,12,0,0.0
2022-06-23,1,vol_20,12,0,0.0
2022-06-23,2,vol_20,12,0,0.0
2022-06-23,3,vol_20,12,0,0.0
2022-06-23,4,vol_20,12,0,0.0
2022-06-24,0,vol_20,12,0,0.0
2022-06-24,1,vol_20,12,0,0.0
2022-06-24,2,vol_20,12,0,0.0
2022-06-24,3,vol_20,12,0,0.0
2022-06-24,4,vol_20,12,0,0.0
2022-06-27,0,vol_20,12,0,0.0
2022-06-27,1,vol_20,12,0,0.0
2022-06-27,2,vol_20,12,0,0.0
2022-06-27,3,vol_20,12,0,0.0
2022-06-27,4,vol_20,12,0,0.0
2022-06-28,0,vol_20,12,0,0.0
2022-06-28,1,vol_20,12,0,0.0
2022-06-28,2,vol_20,12,0,0.0
2022-06-28,3,vol_20,12,0,0.0
2022-06-28,4,vol_20,12,0,0.0
2022-06-29,0,vol_20,12,0,0.0
2022-06-29,1,vol_20,12,0,0.0
2022-06-29,2,vol_20,12,0,0.0
2022-06-29,3,vol_20,12,0,0.0
2022-06-29,4,vol_20,12,0,0.0
2022-06-30,0,vol_20,12,0,0.0
2022-06-30,1,vol_20,12,0,0.0
2022-06-30,2,vol_20,12,0,0.0
2022-06-30,3,vol_20,12,0,0.0
2022-06-30,4,vol_20,12,0,0.0
2022-07-01,0,vol_20,12,12,1.0
2022-07-01,1,vol_20,12,12,1.0
2022-07-01,2,vol_20,12,12,1.0
2022-07-01,3,vol_20,12,12,1.0
2022-07-01,4,vol_20,12,12,1.0
2022-07-04,0,vol_20,12,12,1.0
2022-07-04,1,vol_20,12,12,1.0
2022-07-04,2,vol_20,12,12,1.0
2022-07-04,3,vol_20,12,12,1.0
2022-07-04,4,vol_20,12,12,1.0
2022-07-05,0,vol_20,12,12,1.0
2022-07-05,1,vol_20,12,12,1.0
2022-07-05,2,vol_20,12,12,1.0
2022-07-05,3,vol_20,12,12,1.0
2022-07-05,4,vol_20,12,12,1.0
2022-07-06,0,vol_20,12,12,1.0
2022-07-06,1,vol_20,12,12,1.0
2022-07-06,2,vol_20,12,12,1.0
2022-07-06,3,vol_20,12,12,1.0
2022-07-06,4,vol_20,12,12,1.0
2022-07-07,0,vol_20,12,12,1.0
2022-07-07,1,vol_20,12,12,1.0
2022-07-07,2,vol_20,12,12,1.0
2022-07-07,3,vol_20,12,12,1.0
2022-07-07,4,vol_20,12,12,1.0
2022-07-08,0,vol_20,12,12,1.0
2022-07-08,1,vol_20,12,12,1.0
2022-07-08,2,vol_20,12,12,1.0
2022-07-08,3,vol_20,12,12,1.0
2022-07-08,4,vol_20,12,12,1.0
2022-07-11,0,vol_20,12,12,1.0
2022-07-11,1,vol_20,12,12,1.0
2022-07-11,2,vol_20,12,12,1.0
2022-07-11,3,vol_20,12,12,1.0
2022-07-11,4,vol_20,12,12,1.0
2022-07-12,0,vol_20,12,12,1.0
2022-07-12,1,vol_20,12,12,1.0
2022-07-12,2,vol_20,12,12,1.0
2022-07-12,3,vol_20,12,12,1.0
2022-07-12,4,vol_20,12,12,1.0
2022-07-13,0,vol_20,12,12,1.0
2022-07-13,1,vol_20,12,12,1.0
2022-07-13,2,vol_20,12,12,1.0
2022-07-13,3,vol_20,12,12,1.0
2022-07-13,4,vol_20,12,12,1.0
2022-07-14,0,vol_20,12,12,1.0
2022-07-14,1,vol_20,12,12,1.0
2022-07-14,2,vol_20,12,12,1.0
2022-07-14,3,vol_20,12,12,1.0
2022-07-14,4,vol_20,12,12,1.0
2022-07-15,0,vol_20,12,12,1.0
2022-07-15,1,vol_20,12,12,1.0
2022-07-15,2,vol_20,12,12,1.0
2022-07-15,3,vol_20,12,12,1.0
2022-07-15,4,vol_20,12,12,1.0
2022-07-18,0,vol_20,12,12,1.0
2022-07-18,1,vol_20,12,12,1.0
2022-07-18,2,vol_20,12,12,1.0
2022-07-18,3,vol_20,12,12,1.0
2022-07-18,4,vol_20,12,12,1.0
2022-07-19,0,vol_20,12,12,1.0
2022-07-19,1,vol_20,12,12,1.0
2022-07-19,2,vol_20,12,12,1.0
2022-07-19,3,vol_20,12,12,1.0
2022-07-19,4,vol_20,12,12,1.0
2022-07-20,0,vol_20,12,12,1.0
2022-07-20,1,vol_20,12,12,1.0
2022-07-20,2,vol_20,12,12,1.0
2022-07-20,3,vol_20,12,12,1.0
2022-07-20,4,vol_20,12,12,1.0
2022-07-21,0,vol_20,12,12,1.0
2022-07-21,1,vol_20,12,12,1.0
2022-07-21,2,vol_20,12,12,1.0
2022-07-21,3,vol_20,12,12,1.0
2022-07-21,4,vol_20,12,12,1.0
2022-07-22,0,vol_20,12,12,1.0
2022-07-22,1,vol_20,12,12,1.0
2022-07-22,2,vol_20,12,12,1.0
2022-07-22,3,vol_20,12,12,1.0
2022-07-22,4,vol_20,12,12,1.0
2022-07-25,0,vol_20,12,12,1.0
2022-07-25,1,vol_20,12,12,1.0
2022-07-25,2,vol_20,12,12,1.0
2022-07-25,3,vol_20,12,12,1.0
2022-07-25,4,vol_20,12,12,1.0
2022-07-26,0,vol_20,12,12,1.0
2022-07-26,1,vol_20,12,12,1.0
2022-07-26,2,vol_20,12,12,1.0
2022-07-26,3,vol_20,12,12,1.0
2022-07-26,4,vol_20,12,12,1.0
2022-07-27,0,vol_20,12,12,1.0
2022-07-27,1,vol_20,12,12,1.0
2022-07-27,2,vol_20,12,12,1.0
2022-07-27,3,vol_20,12,12,1.0
2022-07-27,4,vol_20,12,12,1.0
2022-07-28,0,vol_20,12,12,1.0
2022-07-28,1,vol_20,12,12,1.0
2022-07-28,2,vol_20,12,12,1.0
2022-07-28,3,vol_20,12,12,1.0
2022-07-28,4,vol_20,12,12,1.0
2022-07-29,0,vol_20,12,12,1.0
2022-07-29,1,vol_20,12,12,1.0
2022-07-29,2,vol_20,12,12,1.0
2022-07-29,3,vol_20,12,12,1.0
